Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	WMC1006	Cannot resolve Assembly or Windows Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Auth\bin\Debug\net9.0\ACommerce.Client.Auth.dll'	ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\ACommerce.App.Customer.csproj	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Debug\net9.0\Ashare.Shared.dll' could not be found	ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Debug\net9.0\Ashare.Shared.dll' could not be found	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	ACommerce.App.Customer (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	Ashare.App (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	Ashare.Web	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Web\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\CSC	1	
Error (active)	CS0311	The type 'ACommerce.Chats.Core.Hubs.IChatClient' cannot be used as type parameter 'TClient' in the generic type or method 'ServiceCollectionExtensions.AddACommerceSignalR<THub, TClient>(IServiceCollection, Action<HubOptions>?)'. There is no implicit reference conversion from 'ACommerce.Chats.Core.Hubs.IChatClient' to 'ACommerce.Realtime.Abstractions.Contracts.IRealtimeClient'.	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\Program.cs	93	
Error (active)	CS0012	The type 'IRealtimeClient' is defined in an assembly that is not referenced. You must add a reference to assembly 'ACommerce.Realtime.Abstractions, Version=1.0.3.0, Culture=neutral, PublicKeyToken=null'.	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\Program.cs	93	
Error (active)	CS0246	The type or namespace name 'AnalyticsLevel' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionPlans.razor	262	
