Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	135	
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	116	
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	117	
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	118	
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	119	
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	132	
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	133	
Error (active)	CS0246	The type or namespace name 'Providers' could not be found (are you missing a using directive or an assembly reference?)	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	134	
