Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0234	The type or namespace name 'GuestModeService' does not exist in the namespace 'Ashare.Shared.Services' (are you missing an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Auth\Login.razor	12	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Cancelled' and no accessible extension method 'Cancelled' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	321	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Message' and no accessible extension method 'Message' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	363	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Message' and no accessible extension method 'Message' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	364	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	318	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	327	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	330	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	334	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	335	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Status' and no accessible extension method 'Status' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	318	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Status' and no accessible extension method 'Status' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	327	
Error (active)	CS0104	'PaymentResult' is an ambiguous reference between 'Ashare.Shared.Models.PaymentResult' and 'ACommerce.Templates.Customer.Services.PaymentResult'	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Shared\PaymentWebView.razor	210	
Error (active)	CS0104	'PaymentResult' is an ambiguous reference between 'Ashare.Shared.Models.PaymentResult' and 'ACommerce.Templates.Customer.Services.PaymentResult'	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	513	
Error (active)	CS0311	The type 'Ashare.App.Services.AppNavigationService' cannot be used as type parameter 'TImplementation' in the generic type or method 'ServiceCollectionServiceExtensions.AddScoped<TService, TImplementation>(IServiceCollection)'. There is no implicit reference conversion from 'Ashare.App.Services.AppNavigationService' to 'ACommerce.Templates.Customer.Services.IAppNavigationService'.	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	228	
Error (active)	CS0311	The type 'Ashare.App.Services.MauiPaymentService' cannot be used as type parameter 'TImplementation' in the generic type or method 'ServiceCollectionServiceExtensions.AddSingleton<TService, TImplementation>(IServiceCollection)'. There is no implicit reference conversion from 'Ashare.App.Services.MauiPaymentService' to 'ACommerce.Templates.Customer.Services.IPaymentService'.	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	245	
