Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'Title' and no accessible extension method 'Title' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	134	
Error (active)	CS1061	'ProfileResponse' does not contain a definition for 'UserId' and no accessible extension method 'UserId' accepting a first argument of type 'ProfileResponse' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	511	
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'ImageUrl' and no accessible extension method 'ImageUrl' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	63	
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'ImageUrl' and no accessible extension method 'ImageUrl' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	65	
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'IsActive' and no accessible extension method 'IsActive' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	73	
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'IsActive' and no accessible extension method 'IsActive' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	74	
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'Price' and no accessible extension method 'Price' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	86	
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'Title' and no accessible extension method 'Title' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	65	
Error (active)	CS1061	'SpaceItem' does not contain a definition for 'Title' and no accessible extension method 'Title' accepting a first argument of type 'SpaceItem' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\MySpaces.razor	79	
