Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Debug\net9.0\Ashare.Shared.dll' could not be found	ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Debug\net9.0\Ashare.Shared.dll' could not be found	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	ACommerce.App.Customer (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	Ashare.App (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	Ashare.Web	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Web\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\backend\files\ACommerce.Files.Storage.GoogleCloud\obj\Debug\net9.0\ref\ACommerce.Files.Storage.GoogleCloud.dll' could not be found	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Realtime\bin\Debug\net9.0\ACommerce.Client.Realtime.dll' could not be found	ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Realtime\obj\Debug\net9.0\ref\ACommerce.Client.Realtime.dll' could not be found	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Realtime\obj\Debug\net9.0\ref\ACommerce.Client.Realtime.dll' could not be found	ACommerce.App.Customer (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\CSC	1	
