Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0104	'AnalyticsService' is an ambiguous reference between 'Ashare.Shared.Services.Analytics.AnalyticsService' and 'ACommerce.Templates.Customer.Services.Analytics.AnalyticsService'	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Dev\AnalyticsTest.razor	3	
Error (active)	CS0104	'GuestModeService' is an ambiguous reference between 'ACommerce.Templates.Customer.Services.GuestModeService' and 'Ashare.Shared.Services.GuestModeService'	Ashare.App (net9.0-android), Ashare.App (net9.0-ios), Ashare.App (net9.0-maccatalyst), Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\MauiProgram.cs	225	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Cancelled' and no accessible extension method 'Cancelled' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	321	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Message' and no accessible extension method 'Message' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	363	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'Message' and no accessible extension method 'Message' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	364	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	318	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	327	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	330	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	334	
Error (active)	CS1061	'PaymentResult' does not contain a definition for 'OrderId' and no accessible extension method 'OrderId' accepting a first argument of type 'PaymentResult' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\Host\SubscriptionCheckout.razor	335	
