Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddNotificationMessaging' and no accessible extension method 'AddNotificationMessaging' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	179	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddACommerceLocations' and no accessible extension method 'AddACommerceLocations' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	212	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddACommerceSignalR' and no accessible extension method 'AddACommerceSignalR' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	201	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddAuthenticationMessaging' and no accessible extension method 'AddAuthenticationMessaging' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	185	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddChatsCore' and no accessible extension method 'AddChatsCore' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	215	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddInAppNotifications' and no accessible extension method 'AddInAppNotifications' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	175	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddInMemoryMessaging' and no accessible extension method 'AddInMemoryMessaging' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	168	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddInMemoryNotificationPublisher' and no accessible extension method 'AddInMemoryNotificationPublisher' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	176	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddInMemoryTwoFactorSessionStore' and no accessible extension method 'AddInMemoryTwoFactorSessionStore' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	192	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddMessagingHub' and no accessible extension method 'AddMessagingHub' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	171	
Error (active)	CS1061	'IServiceCollection' does not contain a definition for 'AddNotificationCore' and no accessible extension method 'AddNotificationCore' accepting a first argument of type 'IServiceCollection' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	174	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.ClearTokenAsync()'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.GetTokenAsync()'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.HasTokenAsync()'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.SaveTokenAsync(string, DateTime?)'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS1061	'WebApplication' does not contain a definition for 'MapMessagingHub' and no accessible extension method 'MapMessagingHub' accepting a first argument of type 'WebApplication' could be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	384	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Chats.Api\obj\Debug\net9.0\ref\ACommerce.Chats.Api.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Chats.Core\obj\Debug\net9.0\ref\ACommerce.Chats.Core.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Notifications.Core\obj\Debug\net9.0\ref\ACommerce.Notifications.Core.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Realtime.SignalR\obj\Debug\net9.0\ref\ACommerce.Realtime.SignalR.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0234	The type or namespace name 'Api' does not exist in the namespace 'ACommerce.Catalog.Attributes' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	42	
Error (active)	CS0234	The type or namespace name 'Api' does not exist in the namespace 'ACommerce.Catalog.Currencies' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	44	
Error (active)	CS0234	The type or namespace name 'Api' does not exist in the namespace 'ACommerce.Catalog.Units' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	43	
Error (active)	CS0246	The type or namespace name 'AttributeDefinitionsController' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	110	
Error (active)	CS0246	The type or namespace name 'ChatHub' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	382	
Error (active)	CS0234	The type or namespace name 'Chats' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	15	
Error (active)	CS0234	The type or namespace name 'Chats' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	16	
Error (active)	CS0234	The type or namespace name 'Chats' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	48	
Error (active)	CS0246	The type or namespace name 'ChatsController' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	116	
Error (active)	CS0246	The type or namespace name 'ContactPointsController' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	117	
Error (active)	CS0246	The type or namespace name 'CurrenciesController' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	112	
Error (active)	CS0234	The type or namespace name 'InMemory' does not exist in the namespace 'ACommerce.Messaging' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	26	
Error (active)	CS0246	The type or namespace name 'INotificationClient' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Controllers\PaymentCallbackController.cs	15	
Error (active)	CS0246	The type or namespace name 'INotificationClient' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Controllers\PaymentCallbackController.cs	19	
Error (active)	CS0246	The type or namespace name 'INotificationClient' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	201	
Error (active)	CS0246	The type or namespace name 'IProductService' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	218	
Error (active)	CS0234	The type or namespace name 'Locations' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	17	
Error (active)	CS0234	The type or namespace name 'Locations' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	47	
Error (active)	CS0246	The type or namespace name 'LocationSearchController' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	115	
Error (active)	CS0234	The type or namespace name 'Messaging' does not exist in the namespace 'ACommerce.Authentication' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	34	
Error (active)	CS0246	The type or namespace name 'NotificationHub' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Controllers\PaymentCallbackController.cs	15	
Error (active)	CS0246	The type or namespace name 'NotificationHub' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Controllers\PaymentCallbackController.cs	19	
Error (active)	CS0246	The type or namespace name 'NotificationHub' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	201	
Error (active)	CS0246	The type or namespace name 'NotificationHub' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	383	
Error (active)	CS0234	The type or namespace name 'Notifications' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	29	
Error (active)	CS0234	The type or namespace name 'Notifications' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	30	
Error (active)	CS0234	The type or namespace name 'Notifications' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	31	
Error (active)	CS0234	The type or namespace name 'Notifications' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	35	
Error (active)	CS0234	The type or namespace name 'Notifications' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	49	
Error (active)	CS0234	The type or namespace name 'Products' does not exist in the namespace 'ACommerce.Catalog' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Controllers\CategoryAttributesController.cs	5	
Error (active)	CS0234	The type or namespace name 'Products' does not exist in the namespace 'ACommerce.Catalog' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	18	
Error (active)	CS0234	The type or namespace name 'Products' does not exist in the namespace 'ACommerce.Catalog' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	40	
Error (active)	CS0234	The type or namespace name 'Products' does not exist in the namespace 'ACommerce.Catalog' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Services\AshareSeedDataService.cs	2	
Error (active)	CS0234	The type or namespace name 'Products' does not exist in the namespace 'ACommerce.Catalog' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Services\AshareSeedDataService.cs	3	
Error (active)	CS0246	The type or namespace name 'ProductsController' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	108	
Error (active)	CS0246	The type or namespace name 'ProductService' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	218	
Error (active)	CS0234	The type or namespace name 'Realtime' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Controllers\PaymentCallbackController.cs	3	
Error (active)	CS0234	The type or namespace name 'Realtime' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	13	
Error (active)	CS0234	The type or namespace name 'Realtime' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	14	
Error (active)	CS0234	The type or namespace name 'SessionStore' does not exist in the namespace 'ACommerce.Authentication.TwoFactor' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	9	
Error (active)	CS0234	The type or namespace name 'SignalR' does not exist in the namespace 'ACommerce.Messaging' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	27	
Error (active)	CS0234	The type or namespace name 'SignalR' does not exist in the namespace 'ACommerce.Messaging' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	28	
Error (active)	CS0246	The type or namespace name 'UnitsController' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	111	
