Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	NETSDK1064	Package Microsoft.AspNetCore.Components.Analyzers, version 9.0.9 was not found. It might have been deleted since NuGet restore. Otherwise, NuGet restore might have only partially completed, which might have been due to maximum path length restrictions.	ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Program Files\dotnet\sdk\10.0.101\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets	266	
Error (active)	NETSDK1064	Package Microsoft.AspNetCore.Components.WebView, version 9.0.0 was not found. It might have been deleted since NuGet restore. Otherwise, NuGet restore might have only partially completed, which might have been due to maximum path length restrictions.	ACommerce.EShop.Maui (net9.0-windows10.0.19041.0)	C:\Program Files\dotnet\sdk\10.0.101\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets	266	
Error (active)	NETSDK1064	Package Microsoft.AspNetCore.Components.WebView, version 9.0.9 was not found. It might have been deleted since NuGet restore. Otherwise, NuGet restore might have only partially completed, which might have been due to maximum path length restrictions.	Ashare.App (net9.0-windows10.0.19041.0)	C:\Program Files\dotnet\sdk\10.0.101\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets	266	
Error (active)	NETSDK1208	The target platform identifier android was not recognized. This is because MSBuildEnableWorkloadResolver is set to false which disables .NET SDK Workloads which is required for this identifer. Unset this environment variable or MSBuild property to enable workloads.	ACommerce.App.Customer (net9.0-android), ACommerce.EShop.Maui (net9.0-android), Ashare.App (net9.0-android)	C:\Program Files\dotnet\sdk\10.0.101\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.TargetFrameworkInference.targets	134	
Error (active)	NETSDK1208	The target platform identifier ios was not recognized. This is because MSBuildEnableWorkloadResolver is set to false which disables .NET SDK Workloads which is required for this identifer. Unset this environment variable or MSBuild property to enable workloads.	ACommerce.App.Customer (net9.0-ios), ACommerce.EShop.Maui (net9.0-ios)	C:\Program Files\dotnet\sdk\10.0.101\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.TargetFrameworkInference.targets	134	
Error (active)	NETSDK1208	The target platform identifier maccatalyst was not recognized. This is because MSBuildEnableWorkloadResolver is set to false which disables .NET SDK Workloads which is required for this identifer. Unset this environment variable or MSBuild property to enable workloads.	ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.EShop.Maui (net9.0-maccatalyst), Ashare.App (net9.0-maccatalyst)	C:\Program Files\dotnet\sdk\10.0.101\Sdks\Microsoft.NET.Sdk\targets\Microsoft.NET.TargetFrameworkInference.targets	134	
Error (active)	CS0246	The type or namespace name 'CreateListingModel' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	165	
Error (active)	CS0246	The type or namespace name 'CreateListingModel' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	218	
Error (active)	CS0246	The type or namespace name 'CreateListingModel' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	402	
Error (active)	CS0246	The type or namespace name 'CreateListingModel' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	439	
Error (active)	CS0246	The type or namespace name 'CreateListingPage' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	161	
Error (active)	CS0246	The type or namespace name 'ListingAttributeDefinition' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	363	
Error (active)	CS0246	The type or namespace name 'ListingAttributeValue' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	377	
Error (active)	CS0246	The type or namespace name 'ListingCategory' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	162	
Error (active)	CS0246	The type or namespace name 'ListingCategory' could not be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	329	
