Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0234	The type or namespace name 'Templates' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	10	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'Address' and no accessible extension method 'Address' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	534	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'Attributes' and no accessible extension method 'Attributes' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	535	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'CategoryId' and no accessible extension method 'CategoryId' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	528	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'Description' and no accessible extension method 'Description' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	530	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'Images' and no accessible extension method 'Images' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	531	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'Latitude' and no accessible extension method 'Latitude' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	532	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'Longitude' and no accessible extension method 'Longitude' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	533	
Error (active)	CS1061	'CreateListingModel?' does not contain a definition for 'Title' and no accessible extension method 'Title' accepting a first argument of type 'CreateListingModel?' could be found (are you missing a using directive or an assembly reference?)	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	529	
Error (active)	CS0019	Operator '!=' cannot be applied to operands of type 'CreateListingModel?' and '<null>'	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\Components\Pages\CreateListing.razor	522	
