Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Auth\obj\Debug\net9.0\ref\ACommerce.Client.Auth.dll' could not be found	Ashare.App (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	WMC1006	Cannot resolve Assembly or Windows Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Debug\net9.0\Ashare.Shared.dll'	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\Ashare.App.csproj	1	
Error (active)	WMC1006	Cannot resolve Assembly or Windows Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Auth\bin\Debug\net9.0\ACommerce.Client.Auth.dll'	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\Ashare.App.csproj	1	
Error (active)	WMC1006	Cannot resolve Assembly or Windows Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Realtime\bin\Debug\net9.0\ACommerce.Client.Realtime.dll'	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\Ashare.App.csproj	1	
Error (active)	WMC1006	Cannot resolve Assembly or Windows Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Templates\ACommerce.Templates.Customer\bin\Debug\net9.0\ACommerce.Templates.Customer.dll'	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\Ashare.App.csproj	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\bin\Debug\net9.0\Ashare.Shared.dll' could not be found	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\obj\Debug\net9.0\ref\Ashare.Shared.dll' could not be found	Ashare.App (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Auth\bin\Debug\net9.0\ACommerce.Client.Auth.dll' could not be found	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Auth\obj\Debug\net9.0\ref\ACommerce.Client.Auth.dll' could not be found	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Realtime\bin\Debug\net9.0\ACommerce.Client.Realtime.dll' could not be found	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Realtime\obj\Debug\net9.0\ref\ACommerce.Client.Realtime.dll' could not be found	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\libs\frontend\clients\ACommerce.Client.Realtime\obj\Debug\net9.0\ref\ACommerce.Client.Realtime.dll' could not be found	Ashare.App (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Templates\ACommerce.Templates.Customer\bin\Debug\net9.0\ACommerce.Templates.Customer.dll' could not be found	Ashare.App (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Templates\ACommerce.Templates.Customer\obj\Debug\net9.0\ref\ACommerce.Templates.Customer.dll' could not be found	Ashare.Shared	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Shared\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Templates\ACommerce.Templates.Customer\obj\Debug\net9.0\ref\ACommerce.Templates.Customer.dll' could not be found	Ashare.App (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.App\CSC	1	
