Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Cart.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Checkout.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Home.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Login.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Notifications.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\ProductDetails.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Profile.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Register.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Pages\Search.razor	3	
Error (active)	CS0104	'IAppNavigationService' is an ambiguous reference between 'ACommerce.App.Customer.Services.IAppNavigationService' and 'ACommerce.Templates.Customer.Services.IAppNavigationService'	ACommerce.App.Customer (net9.0-android)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\Components\Layout\MainLayout.razor	3	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.ClearTokenAsync()'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.GetTokenAsync()'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.HasTokenAsync()'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS0535	'MauiTokenStorage' does not implement interface member 'ITokenStorage.SaveTokenAsync(string, DateTime?)'	ACommerce.App.Customer (net9.0-android), ACommerce.App.Customer (net9.0-ios), ACommerce.App.Customer (net9.0-maccatalyst), ACommerce.App.Customer (net9.0-windows10.0.19041.0)	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\ACommerce.App.Customer\MauiProgram.cs	188	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Chats.Api\obj\Debug\net9.0\ref\ACommerce.Chats.Api.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Chats.Core\obj\Debug\net9.0\ref\ACommerce.Chats.Core.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Notifications.Core\obj\Debug\net9.0\ref\ACommerce.Notifications.Core.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0006	Metadata file 'C:\Users\i\Source\Repos\ACommerce.Libraries\Other\ACommerce.Realtime.SignalR\obj\Debug\net9.0\ref\ACommerce.Realtime.SignalR.dll' could not be found	ACommerce.EShop.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Examples\ACommerce.EShop.Api\CSC	1	
Error (active)	CS0234	The type or namespace name 'Api' does not exist in the namespace 'ACommerce.Catalog.Attributes' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	42	
Error (active)	CS0234	The type or namespace name 'Api' does not exist in the namespace 'ACommerce.Catalog.Currencies' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	44	
Error (active)	CS0234	The type or namespace name 'Api' does not exist in the namespace 'ACommerce.Catalog.Units' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	43	
Error (active)	CS0234	The type or namespace name 'Chats' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	15	
Error (active)	CS0234	The type or namespace name 'Chats' does not exist in the namespace 'ACommerce' (are you missing an assembly reference?)	Ashare.Api	C:\Users\i\Source\Repos\ACommerce.Libraries\Apps\Ashare.Api\Program.cs	16	
